tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
10000000,1,0,0,0,10,0,100,0,172800,1,60,93011753544814164578768,485614268075587638808539,0,0,69866672560804483801969175,69743648904959160000000000,69581202904941000000000000,0,0,0,0,109567090014531592436499,167668348441485300284248
10000000,1,0,5000,0,10,0,100,0,172800,1,60,46425056766125110942890,485899722065679941240138,0,0,69744168630314082383744143,69655923223837080000000000,69301944232216000000000000,0,0,0,0,124751164903008781513736,199287651374881239832711
10000000,1,0,10000,0,10,0,100,0,172800,1,60,0,489868962156245849845876,0,0,71666378110445243183239406,71877557141610200000000000,71403806160092000000000000,0,0,0,0,152247685953374999999996,221350609297301738089054
10000000,1,1,0,0,10,0,100,0,172800,1,60,89135285685152540804597,464290649858777064358342,0,0,70445703266553043640505360,70351608070263790000000000,70173011141886000000000000,0,0,0,0,100946713098186492536623,164185893867495933942023
10000000,1,1,5000,0,10,0,100,0,172800,1,60,44450662266474644393261,464128860250988080320117,0,0,70571942406170370215245925,70512635284236170000000000,70175561024850000000000000,0,0,0,0,119461155369882551469587,190232972249277504260106
10000000,1,1,10000,0,10,0,100,0,172800,1,60,0,464717029352241528971724,0,0,70700140134379431471727337,70674688497050730000000000,70193588154331000000000000,0,0,0,0,140476262918329999999999,214118414174367597886093
10000000,2,0,0,0,10,0,100,0,172800,1,60,152063383338472374045047,422132311072491312080273,0,398080531067384568604159,46817713676907368405479451,47833365035311400000000000,48009480195067000000000000,0,0,0,0,4009999974638,0
10000000,2,0,5000,0,10,0,100,0,172800,1,60,75836262437795266998346,444772348172539099421466,0,335093721377747250508645,46816439704296368405479451,47833365035311400000000000,48018879915753000000000000,0,0,0,0,4009999974670,0
10000000,2,0,10000,0,10,0,100,0,172800,1,60,0,454170822830126704845212,0,263639868202384944866832,46815165731685368405479452,47833365035311400000000000,48023985893288000000000000,0,0,0,0,90194032968914809936,15881635443527572736
10000000,2,1,0,0,10,0,100,0,172800,1,60,163409708903560838310819,689803703315576817374104,0,573770268268553935096605,46817713676907368405479451,47833365035311400000000000,48112808058340000000000000,32,0,0,0,4009999974574,0
10000000,2,1,5000,0,10,0,100,0,172800,1,60,81235759917693314483925,702845558199303743175509,0,499757896584410211599071,46816439704296368405479451,47833365035311400000000000,48117688316682000000000000,2,0,0,0,4009999974722,0
10000000,2,1,10000,0,10,0,100,0,172800,1,60,0,699727582305206139319530,0,416556452716611128390590,46815165731685368405479452,47833365035311400000000000,48116536024612000000000000,0,0,0,0,3999999974869,0
10000000,3,0,0,0,10,0,100,0,172800,1,60,93744360565570676955619,413496419170270562214961,0,114142525172378641673846,65499128440471714858226451,65423688136769520000000000,65816786229115000000000000,0,0,0,0,4009999974622,0
10000000,3,0,5000,0,10,0,100,0,172800,1,60,46733776368767472264150,415525955524311944360779,0,68371387483687878125464,65513024902662152149333059,65443721077736590000000000,65837609258188000000000000,0,0,0,0,4009999974601,0
10000000,3,0,10000,0,10,0,100,0,172800,1,60,0,490811643042462063028730,0,48209015498139661894824,65719035992308463028814852,103539431397387650000000000,103982033855506000000000000,0,0,0,0,4019999974580,0
10000000,3,1,0,0,10,0,100,0,172800,1,60,93744360565570676955619,413496419170270562214961,0,114142525172378641673846,65499128440471714858226451,65423688136769520000000000,65816786229115000000000000,2,0,0,0,4009999974622,0
10000000,3,1,5000,0,10,0,100,0,172800,1,60,46733776368767472264150,415525955524311944360779,0,68371387483687878125464,65513024902662152149333059,65443721077736590000000000,65837609258188000000000000,0,0,0,0,4009999974601,0
