tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei,recoveryLiquidityWei
10000000,3,1,0,0,85,10,50,0,172800,1,60,88497906801363588918294,416505203453437200167710,0,205709672016703863156825,47680397734635056153729281,47588402893459980000000000,47887696142486739000000000,2,0,0,0,3002274226329,0,0
10000000,3,1,5000,0,85,10,50,0,172800,1,60,44102152757425032683950,414086795660848843381556,0,161002499786565453204275,47672903677006341049319995,47588402893459980000000000,47885589157603716000000000,0,0,0,0,3004420508117,0,0
10000000,3,1,10000,0,85,10,50,0,172800,1,60,0,414319214035180861438846,0,116774622622560950031216,47665415932760228990000534,47588402893459980000000000,47885947297850970000000000,0,0,0,0,3004950018947,0,0
10000000,4,0,0,0,85,10,50,0,172800,1,60,148431662355041672139246,703488973190634416444231,0,363361894437892466086111,66443607785250198597130002,66133252497648490000000000,66621810969360171000000000,0,0,0,0,3010793933840,0,0
10000000,4,0,5000,0,85,10,50,0,172800,1,60,73821414749976427259994,729278610179609400713839,0,307966637838092139707101,64962972648775928311238009,68277442688621830000000000,68772575780636166000000000,0,0,0,0,3006712434229,0,0
10000000,4,0,10000,0,85,10,50,0,172800,1,60,0,745172293786731695209709,0,246075473090036770741756,63974797629281253740876806,69940750321250410000000000,70439952293076168000000000,0,0,0,0,105449311868987316210,0,0
10000000,4,1,0,0,85,10,50,0,172800,1,60,142685233974843553089511,712117231814459696186154,0,362865357343943294059553,58043700339906526617651145,57613574508192370000000000,58105511318632374000000000,0,0,0,0,3006740957194,0,0
10000000,4,1,5000,0,85,10,50,0,172800,1,60,71207539153242771909773,717320769437265518010198,0,301185109944912285847873,60047903823859115452976224,59655706655346690000000000,60143049561475710000000000,0,0,0,0,3008513925162,0,0
10000000,4,1,10000,0,85,10,50,0,172800,1,60,0,724524863972711405919738,0,230981833271016449787005,60250765081508416845254927,60148720100805300000000000,60642464028845958000000000,0,0,0,0,201188797297918711131,0,0
1000000,0,0,0,0,85,10,50,0,172800,1,60,7345030921163486910962,38098140758970770435022,0,375000053010000000000,4881880763220638429634765,5176583462936390000000000,5183436613495266000000000,0,0,0,0,3772660945781439608583,7788792261943426982193,0
1000000,0,0,5000,0,85,10,50,0,172800,1,60,3663490083219834195213,38107129212990989243227,0,375000053010000000000,4878989584708656143730418,5176584898854110000000000,5169982335190317000000000,0,0,0,0,5258104414438539584781,10002526143317538286178,0
1000000,0,0,10000,0,85,10,50,0,172800,1,60,0,38112258823082158603743,0,375000053010000000000,4876099607289948104235126,5176585720865420000000000,5169989476700658000000000,0,0,20,21,6844421481127999881772,10002530020242242100982,0
1000000,0,1,0,0,85,10,50,0,172800,1,60,7345069814373778060009,38015487455589980585233,0,375000053010000000000,4881678069138590181552846,5176570868180570000000000,5183322218548722000000000,0,0,0,0,3734621139469715246954,7788740563002918641769,0
1000000,0,1,5000,0,85,10,50,0,172800,1,60,3663509449350152343884,38024786417343688504730,0,375000053010000000000,4878787652450787568861211,5176572351968680000000000,5169868437770748000000000,0,0,0,0,5220237381910950223595,10002464177541250210480,0
1000000,0,1,10000,0,85,10,50,0,172800,1,60,0,38029919276165430777585,0,375000053010000000000,4875897683023709554003103,5176573174531950000000000,5169875583816549000000000,0,0,20,21,6825081272678999881772,10002468059967903625833,0
1000000,1,0,0,0,85,10,50,0,172800,1,60,9329924999621990623100,48246853174329242789943,0,375000053010000000000,7168167706487524843490163,7269441983408420000000000,7277848657081128000000000,0,0,0,0,3250684858714629662065,9987337115607078758514,0
